,Forecast
2014-09-19,0.5777253900381035
2014-09-20,-0.2302803577512882
2014-09-21,-0.020577537680244756
2014-09-22,-0.04325252426272136
2014-09-23,-0.5491037715092805
2014-09-24,-0.12220545016914777
2014-09-25,0.2577005655969089
2014-09-26,-0.01577254117339455
2014-09-27,-0.07180176616309261
2014-09-28,0.3245128765078464
2014-09-29,0.04161145784495482
2014-09-30,-0.2904822491055468
2014-10-01,-0.09999735086637546
2014-10-02,0.011645336091331948
2014-10-03,0.17564728789391063
2014-10-04,0.5759832648108193
2014-10-05,0.20708220387269977
2014-10-06,-0.2686905369682794
2014-10-07,-0.24565144604468087
2014-10-08,-0.5524140136018565
2014-10-09,-0.18122117454150083
2014-10-10,-0.0027764366212561092
2014-10-11,-0.18808591680571302
2014-10-12,-0.3866874736923396
2014-10-13,-0.11041506414693333
2014-10-14,-0.43724295269490654
2014-10-15,0.11582202102645059
2014-10-16,0.12936494133693638
2014-10-17,-0.2660367487482077
2014-10-18,-0.26986736517845333
2014-10-19,-0.16009468073506816
2014-10-20,0.23749500733804751
2014-10-21,-0.45161641853661416
2014-10-22,0.08103184154200607
2014-10-23,0.47272468365525727
2014-10-24,0.02236991485204426
2014-10-25,0.240920329632439
2014-10-26,-0.13815130052479085
2014-10-27,0.07227371448593212
2014-10-28,-0.2211489864508161
2014-10-29,0.6683718767816618
2014-10-30,0.1143811372333239
2014-10-31,0.0827791019001114
2014-11-01,0.3816381678119548
2014-11-02,0.053490796771669874
2014-11-03,0.10520768030406141
2014-11-04,0.25159969347058303
2014-11-05,-0.07081692083763813
2014-11-06,-0.18887439635590686
2014-11-07,0.215756530075774
2014-11-08,0.028588075722002157
2014-11-09,-0.01627870934487108
2014-11-10,0.025706057895904938
2014-11-11,0.05917227973307969
2014-11-12,-0.624582579298956
2014-11-13,0.12441826910172572
2014-11-14,0.4355277990207451
2014-11-15,0.6057122104785273
2014-11-16,0.04567132069456929
2014-11-17,0.405560032505043
2014-11-18,0.3453526546244141
2014-11-19,0.07780505304155869
2014-11-20,0.6231184488703928
2014-11-21,0.35943763162887865
2014-11-22,0.10868158191510505
2014-11-23,-0.15784831033376406
2014-11-24,0.07845536795184263
2014-11-25,0.21988494061737462
2014-11-26,0.19173347795845425
2014-11-27,0.070290463164781
2014-11-28,0.45251866888293557
2014-11-29,0.17963332893991538
2014-11-30,0.09748472998529525
2014-12-01,0.2515682955835231
2014-12-02,0.20164804727448893
2014-12-03,0.3118137314994889
2014-12-04,0.44083701127008806
2014-12-05,0.13845361281804372
2014-12-06,0.17540659150434101
2014-12-07,0.2298695171102536
2014-12-08,0.8773547978810866
2014-12-09,0.46615920604894473
2014-12-10,0.5494289434514616
2014-12-11,0.2751092972283251
2014-12-12,0.33282817461441194
2014-12-13,0.4149986683710626
2014-12-14,0.30493709283678394
2014-12-15,0.6075195879957835
2014-12-16,0.8852383769238839
2014-12-17,0.3845880656591362
2014-12-18,0.41636903326982533
2014-12-19,0.16099289363794675
2014-12-20,0.04588940751288416
2014-12-21,0.4600115481662725
2014-12-22,0.25167522134552667
2014-12-23,0.16595398172253553
2014-12-24,0.6149929855476134
2014-12-25,0.4370709989749388
2014-12-26,0.3486915488472593
2014-12-27,0.5482345720544903
2014-12-28,0.3309439449220103
2014-12-29,0.4136077778036835
2014-12-30,0.41143418349893485
2014-12-31,0.2803522762243466
2015-01-01,0.3571471132754933
2015-01-02,0.34947464705676723
2015-01-03,1.4969564842571694
2015-01-04,0.9899792783084126
2015-01-05,0.37550193943621746
2015-01-06,-0.06193175216027191
2015-01-07,0.055848915349120766
2015-01-08,0.36593278050142203
2015-01-09,0.28991004392754094
2015-01-10,0.6862342087058309
2015-01-11,0.6853638996527907
2015-01-12,0.42876933208769
2015-01-13,1.877360337867007
2015-01-14,2.1207601170701897
2015-01-15,-0.5931203328034711
2015-01-16,-0.22559186001424886
2015-01-17,0.48591526168990223
2015-01-18,-0.056518510526268495
2015-01-19,-0.11831714715064093
2015-01-20,0.5201692767790251
2015-01-21,-0.18536163456015037
2015-01-22,-0.09826931245485393
2015-01-23,0.26943432030274606
2015-01-24,-0.17854154116560644
2015-01-25,0.059873805072373366
2015-01-26,-0.04911795234232741
2015-01-27,0.43937600992704334
2015-01-28,1.21671761722642
2015-01-29,0.393390112305325
2015-01-30,0.4894822981290972
2015-01-31,0.5214498425687564
2015-02-01,-0.005507604589429296
2015-02-02,-0.31417984800542886
2015-02-03,0.3303037882610908
2015-02-04,0.2921190234904592
2015-02-05,0.4560476658427066
2015-02-06,0.15340635755762347
2015-02-07,-0.027150347391746016
2015-02-08,0.27405492410547416
2015-02-09,0.46175140219605776
2015-02-10,0.12516166244174903
2015-02-11,0.25025208436513613
2015-02-12,-0.05073396466321356
2015-02-13,-0.032758661944011724
2015-02-14,-0.5218863109882623
2015-02-15,0.687445999926076
2015-02-16,0.3238134473901906
2015-02-17,-0.07222714220696308
2015-02-18,0.28623928774871465
2015-02-19,0.11596631778983832
2015-02-20,0.19687974341353026
2015-02-21,0.15638683147192176
2015-02-22,0.5343576113445199
2015-02-23,0.15617286516395051
2015-02-24,0.18299428507509471
2015-02-25,0.33193186382825635
2015-02-26,0.41219389943837415
2015-02-27,0.09618615557705602
2015-02-28,0.0859705278968149
2015-03-01,0.2194771354050572
2015-03-02,-0.05741613857240807
2015-03-03,0.15320121463486688
2015-03-04,0.40251348838231416
2015-03-05,0.19118580555844017
2015-03-06,0.45532903486371873
2015-03-07,0.1379192065501425
2015-03-08,0.32375139793338514
2015-03-09,0.0670830734360679
