,open,high,low,close,volume,movement,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,34483200,-6.9842645086838235,2315.927978515625,22.570186614990234,93.06999969482422,1225.699951171875,3.0924999713897705,0.4646165072917938,17265.990234375,2011.3599853515625,852.4500122070312,16067.5703125
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700,3.5734916429453367,2329.450927734375,22.386152267456055,92.41000366210938,1215.300048828125,3.0885000228881836,0.4560123383998871,17279.740234375,2010.4000244140625,853.4099731445312,16321.169921875
2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,36863600,-2.465854454739269,2329.450927734375,22.386152267456055,92.41000366210938,1215.300048828125,3.0885000228881836,0.4560123383998871,17279.740234375,2010.4000244140625,853.4099731445312,16321.169921875
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100,0.8352101649706567,2329.450927734375,22.386152267456055,92.41000366210938,1215.300048828125,3.0885000228881836,0.4560123383998871,17279.740234375,2010.4000244140625,853.4099731445312,16321.169921875
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600,8.364741783421215,2289.865966796875,22.408321380615234,91.5199966430664,1216.800048828125,3.0380001068115234,0.4514714181423187,17172.6796875,1994.2900390625,849.6599731445312,16205.900390625
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500,-2.8880814347395978,2309.718017578125,22.75865936279297,91.55999755859375,1221.0,3.0344998836517334,0.44955942034721375,17055.869140625,1982.77001953125,837.02001953125,16205.900390625
2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,30627700,-2.7483091679796234,2343.574951171875,22.56131935119629,92.80000305175781,1218.5999755859375,3.059499979019165,0.4521884620189667,17210.060546875,1998.300048828125,844.4400024414062,16167.4501953125
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400,-1.7369943788794973,2345.10302734375,21.70099449157715,92.52999877929688,1221.199951171875,3.059999942779541,0.4423893690109253,16945.80078125,1965.989990234375,835.1900024414062,16374.1396484375
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,21460800,-1.2128327693262664,2347.718017578125,22.33959197998047,93.54000091552734,1214.0999755859375,3.0290000438690186,0.44334545731544495,17113.150390625,1982.8499755859375,840.489990234375,16229.8603515625
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300,-5.591457216687113,2347.718017578125,22.33959197998047,93.54000091552734,1214.0999755859375,3.0290000438690186,0.44334545731544495,17113.150390625,1982.8499755859375,840.489990234375,16229.8603515625
2014-09-28,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,23613300,-0.454420890480145,2347.718017578125,22.33959197998047,93.54000091552734,1214.0999755859375,3.0290000438690186,0.44334545731544495,17113.150390625,1982.8499755859375,840.489990234375,16229.8603515625
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700,3.0567238732558177,2357.7109375,22.197675704956055,94.56999969482422,1217.5,3.052999973297119,0.4426284432411194,17071.220703125,1977.800048828125,835.8099975585938,16310.6396484375
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300,-0.8603337970520819,2363.8701171875,22.33959197998047,91.16000366210938,1210.5,3.005500078201294,0.44095557928085327,17042.900390625,1972.2900390625,844.219970703125,16173.51953125
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,-2.22697222086099,2363.8701171875,21.991456985473633,90.7300033569336,1214.5999755859375,3.0334999561309814,0.4366534650325775,16804.7109375,1946.1600341796875,835.0599975585938,16082.25
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700,-4.148536263261304,2363.8701171875,22.151119232177734,91.01000213623047,1214.199951171875,2.996500015258789,0.43474143743515015,16801.05078125,1946.1700439453125,813.719970703125,15661.990234375
2014-10-03,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,30901200,-8.524332054467354,2363.8701171875,22.089027404785156,89.73999786376953,1192.199951171875,2.994499921798706,0.4356973469257355,17009.689453125,1967.9000244140625,821.9500122070312,15708.650390625
2014-10-04,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,47236500,-2.5408487399317115,2363.8701171875,22.089027404785156,89.73999786376953,1192.199951171875,2.994499921798706,0.4356973469257355,17009.689453125,1967.9000244140625,821.9500122070312,15708.650390625
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,83308096,2.985554258083245,2363.8701171875,22.089027404785156,89.73999786376953,1192.199951171875,2.994499921798706,0.4356973469257355,17009.689453125,1967.9000244140625,821.9500122070312,15708.650390625
2014-10-06,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,79011800,1.8504665621736027,2363.8701171875,22.089027404785156,90.33999633789062,1206.699951171875,3.0304999351501465,0.4330684244632721,16991.91015625,1964.8199462890625,823.3499755859375,15890.9501953125
2014-10-07,330.5840148925781,339.24700927734375,320.48199462890625,336.18701171875,49199900,4.983235561959076,2363.8701171875,21.8961238861084,88.8499984741211,1211.699951171875,3.0344998836517334,0.42852744460105896,16719.390625,1935.0999755859375,809.6900024414062,15783.830078125
2014-10-08,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,54736300,3.424377642532228,2382.7939453125,22.350675582885742,87.30999755859375,1205.300048828125,3.0,0.4364143908023834,16994.220703125,1968.8900146484375,802.969970703125,15595.98046875
2014-10-09,352.74798583984375,382.72601318359375,347.68701171875,365.0260009765625,83641104,-0.9489705523839986,2389.37109375,22.399456024169922,85.7699966430664,1224.5999755859375,3.0280001163482666,0.4280494451522827,16659.25,1928.2099609375,799.2899780273438,15478.9296875
2014-10-10,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,43665700,0.2038376510340001,2374.5400390625,22.335153579711914,85.81999969482422,1221.0,3.0320000648498535,0.40271541476249695,16544.099609375,1906.1300048828125,787.6900024414062,15300.5498046875
2014-10-11,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,13345200,4.485245473017008,2374.5400390625,22.335153579711914,85.81999969482422,1221.0,3.0320000648498535,0.40271541476249695,16544.099609375,1906.1300048828125,787.6900024414062,15300.5498046875
2014-10-12,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,17552800,3.134333965318792,2374.5400390625,22.335153579711914,85.81999969482422,1221.0,3.0320000648498535,0.40271541476249695,16544.099609375,1906.1300048828125,787.6900024414062,15300.5498046875
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,35221400,2.6781810112118443,2366.009033203125,22.131149291992188,85.73999786376953,1229.300048828125,3.0364999771118164,0.40128135681152344,16321.0703125,1874.739990234375,786.7000122070312,15300.5498046875
2014-10-14,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,38491500,-1.5209381938149025,2359.47509765625,21.8961238861084,81.83999633789062,1233.5999755859375,3.0850000381469727,0.4106024503707886,16315.1904296875,1877.699951171875,787.8800048828125,14936.509765625
2014-10-15,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,25267100,-3.0946924386216934,2373.669921875,21.627819061279297,81.77999877929688,1244.0999755859375,3.004499912261963,0.4168163239955902,16141.740234375,1862.489990234375,760.989990234375,15073.51953125
2014-10-16,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,26990000,0.31420128043384565,2356.4990234375,21.344003677368164,82.69999694824219,1240.5,2.9784998893737793,0.4170554578304291,16117.240234375,1862.760009765625,755.0,14738.3798828125
